timestamp,Temperature,Humidity,Pressure
20140601T1500,21.380245,36.768097,1017.4
20111212T0900,8.430245,87.802605,1010.6
20111214T1100,11.410245,74.47728,1006.1
20130829T1900,17.070246,76.31453,1020.9
20180426T1300,15.230246,47.69924,1020.2
20210227T0100,6.750245,79.098465,1033.8
20230424T2200,9.080245,72.447464,1013.4
20171027T0000,10.730246,93.37138,1023.8
20170622T0700,25.970245,55.273823,1016.2
20170331T1600,20.640245,35.842453,1015.1
20170224T0600,6.020245,71.88105,1013.0
20190512T1000,11.920245,56.322975,1029.8
20080602T1100,23.270245,62.718933,1011.3
20161212T0900,1.5202454,96.540215,1029.1
20230521T0200,13.010245,94.74321,1012.0
20100404T2000,7.3402452,71.48298,1021.1
20070619T1600,30.050245,39.411564,1010.3
20220507T2200,13.110246,78.25904,1021.0
20070128T2200,2.1902454,82.47131,1030.4
20090617T0900,20.280245,56.21419,1022.6
20090730T0000,20.280245,70.32989,1014.2
20081008T1500,18.320246,72.61971,1016.1
20190202T1000,4.880245,92.3464,997.4
20060214T1700,4.730245,82.48337,1019.8
20230311T1100,4.5802455,72.264626,1012.1
20200826T0000,22.650246,40.370937,1012.0
20110615T0100,14.970245,90.70826,1019.3
20140907T1400,25.830246,56.09397,1012.6
20210904T0700,17.310246,76.25324,1016.7
20200329T0600,6.5702453,67.365524,1019.6
20120922T1500,14.850245,83.80956,1017.4
20070508T0000,15.130245,72.65992,1017.6
20120114T2000,-2.3297548,86.242226,1026.7
20090104T0000,-4.329755,77.00067,1025.3
20240710T1400,26.750246,62.846245,1016.9
20211018T1900,7.2402453,98.53018,1025.0
20240613T1000,18.270245,47.011612,1018.7
20240821T1100,21.120245,51.68379,1020.7
20110709T1800,21.660246,63.916348,1017.8
20080620T2300,16.760244,79.6467,1020.9
20201029T0300,12.010245,85.28809,1018.3
20200207T1500,8.460245,42.560818,1025.4
20181211T0100,4.3502455,88.69226,1026.2
20100601T0000,10.840245,83.94279,1018.9
20150121T1500,3.1002455,82.906685,1008.0
20070414T1000,20.900246,51.659676,1018.6
20130729T2100,17.700245,88.25084,1021.7
20240614T0500,13.3102455,87.80191,1013.8
20220116T1000,0.1802454,83.27787,1031.3
20081030T1700,5.040245,84.68246,999.1
20241203T0800,6.0602455,87.493965,1021.6
20160831T1100,26.670246,46.66957,1020.3
20100529T0200,13.730246,91.099304,1018.6
20220628T0800,19.490246,72.68845,1020.5
20060107T1200,-0.3297546,76.71042,1026.2
20131122T0600,1.4302454,97.45005,1001.8
20170723T0300,18.540245,85.979774,1017.1
20140513T1300,12.050245,72.471565,1018.2
20190928T0100,14.650246,89.502014,1017.5
20071211T1700,3.7702456,90.36709,1025.5
20070222T1200,13.210245,58.891285,1012.5
20190301T0900,8.110246,87.89199,1017.9
20120709T1400,24.500246,51.051407,1013.7
20111103T0400,8.150246,94.90051,1009.1
20110201T0800,-2.1897545,84.3201,1028.0
20151208T0800,2.2102454,95.60218,1033.2
20060810T1600,18.980246,52.765205,1014.1
20201009T1300,18.470245,65.336685,1020.9
20241221T1000,5.2802453,76.285194,1025.4
20180208T0500,-0.4597546,96.870834,1018.9
20121102T1500,12.490245,62.440533,1002.7
20160213T1500,8.370246,82.06845,988.4
20080105T1500,8.140245,84.125465,1012.7
20140215T1000,8.3102455,92.39634,1004.8
20240627T0100,17.500246,94.37928,1012.1
20130402T1600,6.9902453,65.77444,1005.9
20061214T1200,6.1802454,76.61255,1032.5
20121208T1800,-1.6797546,89.09961,1027.1
20100711T1900,27.470245,59.445366,1016.5
20130303T1900,0.5502454,85.58804,1019.8
20170504T0300,6.8502455,95.23079,1016.4
20200205T2200,-1.5597545,90.45941,1036.4
20070422T0500,6.8202453,85.08696,1020.9
20200924T2300,14.550245,87.39642,1003.6
20220228T1600,8.830245,53.849525,1029.1
20210402T0100,10.670245,79.22176,1018.5
20150505T0200,16.690245,91.6517,1003.0
